"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: de","Country: de / Role: Auth","0","0","1","0","0"
"US_11.00.04 | Learn to trade > Menu item [Trading Strategies]","Language: de","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: de","Country: de / Role: Auth","0","0","0","1","0"
"US_11.01.07 | Education > Menu item [Glossary of trading terms]","Language: de","Country: de / Role: Auth","0","0","4","0","0"
"US_11.00.00 | Learn to trade","Language: de","Country: de / Role: Auth","0","0","0","3","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: de","Country: de / Role: NoAuth","0","0","0","3","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: de","Country: de / Role: NoReg","0","0","1","0","0"
"US_11.01.06 | Education > Menu item [Investmate app]","Language: de","Country: de / Role: Auth","0","0","5","0","0"
"US_11.02.07 | Education > Menu item [ETF trading]","Language: de","Country: de / Role: NoAuth","0","0","4","0","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: de","Country: de / Role: Auth","0","0","1","0","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: de","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.03.03 | Education > Menu item [Trend Trading]","Language: de","Country: de / Role: Auth","0","0","0","7","0"
"US_11.00.05 | Learn to trade > Menu Item [Technical analysis]","Language: de","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: de","Country: de / Role: Auth","0","0","0","1","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: de","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: de","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.00.03 | Learn to trade > Menu item [Market guides]","Language: de","Country: de / Role: NoReg","0","0","0","3","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: de","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.01.01 | Education > Menu Item [Learning hub]","Language: de","Country: de / Role: NoAuth","0","0","1","0","0"
"US_11.02.01 | Education > Menu Item [Market guides]","Language: de","Country: de / Role: Auth","0","0","1","0","0"
"US_11.00.06 | Learn to trade > Menu Item [Help]","Language: de","Country: de / Role: NoReg","0","0","0","1","0"
"US_11.00.02 | Learn to trade > Menu Item [Risk-management guide]","Language: de","Country: de / Role: NoAuth","0","0","0","1","0"
"US_11.01.02 | Education > Menu Item [The basics of trading]","Language: de","Country: de / Role: NoReg","0","0","1","0","0"
